TSPAN6,2.6856,2.4436,2.6261,2.1944
TNMD,0.1325,0.2288,0.0808,0.0000
DPM1,3.7665,3.4623,3.0440,2.7865
SCYL3,1.3967,1.2279,1.2600,1.2897
C1orf112,0.7923,0.6716,0.5837,0.5574
FGR,0.7589,1.0612,1.3637,1.8406
CFH,1.4950,1.6361,1.7458,1.7046
FUCA2,3.1100,3.0640,2.8078,3.1389
GCLC,2.4651,2.2061,1.9993,2.1261
NFYA,2.9434,2.6866,2.5455,2.5258
C1orf201,1.6520,1.4059,0.8074,1.2685
NIPAL3,3.6927,3.7170,3.2682,4.3130
LAS1L,2.5942,2.8475,2.8480,3.1651
ENPP4,3.2165,2.7921,2.1312,2.9918
SEMA3F,0.7857,1.0762,0.9552,1.2751
CFTR,0.0742,0.0625,0.0387,0.1056
ANKIB1,3.5632,3.1607,3.0776,3.0077
CYP51A1,4.9556,4.5316,4.1723,4.4071
KRIT1,2.4014,2.0267,1.6403,1.6128
RAD52,1.0080,1.1273,1.0783,1.0607
BAD,4.9434,5.1911,5.2499,5.1696
LAP3,3.4292,3.4004,3.0478,3.4054
CD99,0.0000,0.0000,0.0000,0.0000
HS3ST1,0.9502,0.8931,0.5309,0.4988
ABP1,0.0000,0.0000,0.0000,0.0000
WNT16,0.7113,0.2707,0.1118,0.0351
HECW1,1.8536,1.5597,0.9251,0.8891
MAD1L1,1.6125,1.9951,1.3949,1.8747
LASP1,5.2964,5.0887,4.8003,4.5368
SNX11,3.2563,3.1745,3.0609,3.2072
TMEM176A,2.1778,2.3679,2.2931,2.4650
M6PR,3.2017,3.0472,2.8481,2.8954
KLHL13,1.2768,1.0570,0.9620,0.5282
CYP26B1,2.2679,2.0884,0.7219,0.7496
ICA1,2.7261,2.6968,1.8014,1.8798
DBNDD1,5.1997,5.1790,4.6402,4.2806
ALS2,2.2211,1.8623,1.4096,1.5119
CASP10,0.6771,0.8285,1.0586,1.0862
CFLAR,1.0423,1.1240,1.2012,1.2560
TFPI,0.4690,0.5577,0.7633,0.4754
C2orf56,2.0746,1.8930,1.5373,1.3133
RBM5,2.7258,2.9513,2.5839,2.8884
MTMR7,2.2182,1.6244,1.0642,1.1506
SLC7A2,2.6042,2.1700,1.9610,1.7745
ARF5,5.8176,6.0846,5.3264,5.5124
SARM1,2.8321,2.8408,2.7544,2.6768
PLXND1,3.1074,3.2037,3.0735,3.2052
AK2,2.3176,2.3661,2.4286,2.5230
CD38,1.2701,1.0238,0.9426,0.8691
FKBP4,4.3936,4.3469,3.4260,3.8027
RBM6,3.0436,3.3321,3.2303,3.0868
CAMKK1,4.2763,4.2093,2.7008,3.3370
RECQL,2.3620,1.9930,2.0004,1.6704
CCDC132,2.4140,2.0173,1.4147,1.4520
HSPB6,4.6236,5.0407,4.5807,5.0765
NDUFAB1,5.8973,5.6959,5.2095,5.2640
PDK4,3.2806,2.9858,2.8757,2.7073
SLC22A16,0.0388,0.0772,0.0349,0.0302
ZMYND10,0.5089,0.5377,0.7788,0.3830
ABCB5,0.0173,0.0000,0.0000,0.0000
ARX,2.8865,2.8283,2.2543,1.7895
SLC25A13,1.6895,1.8948,1.8965,2.2333
ST7,2.0511,1.8973,1.7802,1.6553
CDC27,3.1628,2.7050,2.1274,2.0777
SLC4A1,0.0684,0.1714,0.2250,0.3161
