TSPAN6,2.2911,2.1063
TNMD,0.2128,0.3158
DPM1,4.0475,3.6338
SCYL3,1.5031,1.6570
C1orf112,0.7200,0.9469
FGR,0.9154,1.0758
CFH,2.1131,1.1384
FUCA2,3.3308,2.9613
GCLC,2.2631,2.2146
NFYA,1.3873,1.8636
C1orf201,1.6473,1.4301
NIPAL3,3.1854,3.3289
LAS1L,1.7065,2.6893
ENPP4,2.4333,2.4139
SEMA3F,0.5923,0.7256
CFTR,0.0662,0.0166
ANKIB1,2.5536,3.0331
CYP51A1,4.8554,4.6890
KRIT1,1.1824,1.8445
RAD52,0.6992,1.5225
BAD,6.3053,5.8132
LAP3,3.2769,3.0784
CD99,0.0000,0.0000
HS3ST1,1.3525,1.0540
ABP1,0.0240,0.0000
WNT16,0.6707,0.6772
HECW1,2.5527,2.3603
MAD1L1,2.1092,2.1319
LASP1,5.6630,5.6555
SNX11,3.7098,3.3262
TMEM176A,0.6512,0.7977
M6PR,3.3299,3.2191
KLHL13,1.9732,1.5609
CYP26B1,3.6403,2.7134
ICA1,2.7584,3.0030
DBNDD1,5.0251,5.1586
ALS2,1.7747,2.3085
CASP10,0.3264,0.4786
CFLAR,0.5758,0.9181
TFPI,0.1376,0.0711
C2orf56,1.9577,2.0447
RBM5,2.1019,3.1074
MTMR7,2.6290,2.4701
SLC7A2,0.4672,0.4973
ARF5,7.3183,6.6683
SARM1,2.9096,2.9529
PLXND1,3.3279,3.7251
AK2,1.8411,1.9060
CD38,0.3217,1.3127
FKBP4,5.5960,6.2414
RBM6,2.5438,3.5436
CAMKK1,4.1824,4.1176
RECQL,2.2802,2.0710
CCDC132,2.8626,2.7531
HSPB6,2.6631,2.8081
NDUFAB1,7.0783,6.3646
PDK4,1.2882,1.7990
SLC22A16,0.0243,0.0000
ZMYND10,1.8085,1.6252
ABCB5,0.0000,0.0062
ARX,2.8938,3.2739
SLC25A13,1.1613,1.2682
ST7,2.6430,2.6166
CDC27,4.4898,3.7296
SLC4A1,0.1010,0.0738
CALCR,0.1307,0.1477
HCCS,4.0216,3.7172
DVL2,1.0324,1.9364
PRSS22,0.0000,0.1187
UPF1,2.4605,3.3435
SKAP2,2.9253,2.6571
SLC25A5,6.9446,6.4254
CCDC109B,1.6164,1.4992
HOXA11,0.0000,0.0000
POLR2J,3.5542,3.8877
DHX33,1.0797,1.9445
MEOX1,0.0000,0.0210
THSD7A,1.3345,1.4156
LIG3,1.2674,1.3822
RPAP3,2.3419,2.3281
ACSM3,0.1802,0.4084
AC004381.2,0.0000,0.0000
CIAPIN1,4.3215,3.9569
AC004410.1,2.0614,2.8363
KIAA1539,1.8478,1.9933
COPZ2,2.0749,1.9708
PRKAR2B,5.1760,4.7659
MSL3,3.0122,2.6420
CREBBP,1.6087,2.8980
BZRAP1,3.9411,5.0896
MPO,0.4717,0.3775
PON1,0.0603,0.1451
C2orf3,1.5866,1.5600
WDR54,3.7740,3.4199
CROT,1.8804,1.7769
ABCB4,0.0838,0.1910
MLL5,2.8184,3.4191
RHBDD2,7.2096,6.7846
SOX8,3.0932,3.8632
IBTK,1.7960,2.0693
ZNF195,2.1979,2.2595
MYCBP2,3.1850,3.9610
FBXL3,3.4283,3.2753
ITGAL,0.0691,0.1057
PDK2,3.6654,3.7591
ITGA3,1.5830,1.9329
ZFX,0.6350,1.1010
LAMP2,3.2407,3.1649
GGNBP2,2.9807,3.1185
ITGA2B,0.0986,0.1812
ASB4,0.0200,0.0606
GDE1,4.7668,4.6551
C19orf60,5.9057,5.5219
CRLF1,1.9946,2.6892
OSBPL7,0.7562,2.0838
TMEM98,2.1263,1.9933
YBX2,0.3254,0.7021
KRT33A,0.1003,0.0000
MAP3K14,1.0126,1.9468
ABCC8,1.2564,2.3385
CCL18,0.0000,0.0000
CCL3,0.0601,0.0379
CACNG3,6.0837,6.1815
