TSPAN6,1.6382,1.5773,2.1125,1.7192
TNMD,0.1554,0.0000,0.1442,0.1643
DPM1,3.0486,3.2502,3.6864,3.3997
SCYL3,1.5168,1.5269,1.6657,1.5166
C1orf112,0.6404,0.6130,0.6482,0.7011
FGR,1.3174,1.1285,0.9990,1.2041
CFH,0.9683,0.7462,0.8027,0.9509
FUCA2,2.5653,2.7475,2.6160,2.8455
GCLC,2.1296,2.3419,2.4210,2.3893
NFYA,2.7417,2.5925,2.8062,2.7008
C1orf201,2.3708,2.3931,2.1589,2.4489
NIPAL3,4.6456,4.7932,4.5035,5.0888
LAS1L,2.6928,2.7236,2.6068,2.6261
ENPP4,3.2400,3.3512,3.6631,3.5145
SEMA3F,1.0905,0.9354,0.8000,1.0360
CFTR,0.0745,0.1054,0.1257,0.1538
ANKIB1,3.1467,3.0842,3.2439,3.2030
CYP51A1,3.8885,4.1292,4.2602,4.1865
KRIT1,2.0054,2.0603,2.1703,2.1867
RAD52,0.9342,1.0729,1.0568,0.7766
BAD,5.0526,5.0057,4.6107,4.7454
LAP3,2.9112,2.9797,2.9786,3.0308
CD99,0.0000,0.0000,0.0000,0.0000
HS3ST1,1.3306,1.3445,0.9009,1.2904
ABP1,0.0000,0.0000,0.0000,0.0000
WNT16,0.5176,0.2136,0.6953,0.4426
HECW1,2.9435,2.9342,2.8074,2.7497
MAD1L1,1.9402,2.1446,1.7259,2.1239
LASP1,5.5831,5.4203,5.5536,5.4122
SNX11,3.9162,3.6744,3.9237,4.0059
TMEM176A,1.8444,1.5059,1.7097,1.2950
M6PR,3.9131,3.6442,3.9130,3.9056
KLHL13,0.9325,0.9455,1.5876,1.0571
CYP26B1,3.4549,3.8495,2.9418,3.4584
ICA1,3.0416,2.9268,2.9718,2.8878
DBNDD1,5.5744,5.6445,4.9729,5.4182
ALS2,2.8272,2.5526,2.8580,2.6097
CASP10,0.5446,0.5222,0.5931,0.6062
CFLAR,1.0406,0.9274,1.1104,1.0191
TFPI,0.2165,0.1423,0.2192,0.1665
C2orf56,2.1324,2.0313,2.0953,2.0837
RBM5,3.3115,3.3391,3.2920,3.3017
MTMR7,2.7031,2.4175,2.9503,2.5049
SLC7A2,1.1104,0.8163,1.0013,0.7371
ARF5,6.5557,6.7011,6.3946,6.5034
SARM1,3.2346,3.0381,3.1220,3.0941
PLXND1,3.6429,3.7545,3.3789,3.4554
AK2,2.1534,2.1916,2.0059,2.3192
CD38,0.3961,0.3145,0.5717,0.2744
FKBP4,5.3243,5.2394,5.1853,5.5020
RBM6,2.8220,2.7772,3.0134,2.7542
CAMKK1,5.5299,5.5924,5.0338,5.5709
RECQL,1.7209,1.5981,1.9541,1.7010
CCDC132,2.8476,2.6690,3.0651,2.9015
HSPB6,3.4738,3.2155,2.6504,3.4637
NDUFAB1,5.6772,5.8111,5.8888,6.0483
PDK4,2.4220,2.3755,2.4768,2.6891
SLC22A16,0.0231,0.0218,0.0000,0.0242
ZMYND10,0.6767,0.6147,0.9163,0.6171
ABCB5,0.0000,0.0179,0.0089,0.0000
ARX,2.3053,2.1540,2.2160,1.9616
SLC25A13,1.6645,2.0589,1.7411,2.4763
ST7,2.0593,1.8228,2.0896,1.9300
CDC27,2.8647,2.8210,3.3791,2.7866
SLC4A1,0.0000,0.0000,0.0152,0.0176
CALCR,0.2024,0.0205,0.1719,0.0674
HCCS,3.1735,3.1841,3.3444,3.3210
DVL2,2.3517,2.8500,2.1740,2.4325
PRSS22,0.0000,0.0000,0.0000,0.0000
UPF1,4.1703,4.3217,3.8703,4.1309
SKAP2,2.6051,2.6303,3.0993,2.6085
SLC25A5,6.7241,6.8621,6.5978,7.0427
CCDC109B,0.9799,0.7599,1.2633,0.8106
HOXA11,0.0000,0.0000,0.0000,0.0000
POLR2J,3.5335,3.6775,3.1212,3.2423
DHX33,2.6629,2.4195,2.6147,2.4059
MEOX1,0.0000,0.0000,0.0000,0.0679
THSD7A,1.2842,0.8936,1.4150,1.0016
LIG3,1.9658,1.8574,2.0125,1.9195
RPAP3,2.0705,2.0685,2.6074,2.0864
ACSM3,0.1813,0.2254,0.2133,0.2233
AC004381.2,0.0000,0.0000,0.0000,0.0000
CIAPIN1,4.5549,4.4391,4.5778,4.7433
AC004410.1,2.8906,3.1449,2.5183,2.9460
KIAA1539,2.8367,2.8080,2.5891,2.7864
COPZ2,1.9484,1.6884,1.9566,2.2860
PRKAR2B,4.2034,4.0926,4.5001,4.1019
MSL3,2.2683,2.3278,2.4205,2.1972
CREBBP,3.1459,3.1165,3.0376,2.9481
BZRAP1,4.7391,4.6481,4.7000,4.1761
MPO,0.8121,0.5571,0.5085,0.7180
PON1,0.0855,0.1324,0.1307,0.0724
C2orf3,0.9516,1.0258,1.1391,0.9226
WDR54,3.1186,3.3919,3.1830,3.1454
CROT,1.2854,1.2609,1.7554,1.3864
ABCB4,0.1072,0.0859,0.0852,0.1025
MLL5,3.2771,3.2529,3.2537,3.3276
RHBDD2,7.4606,7.4718,7.2957,7.2524
SOX8,4.3827,4.7853,3.9466,4.6372
IBTK,1.9875,1.9094,2.2901,1.9363
ZNF195,1.4331,1.5454,1.6491,1.5527
MYCBP2,4.3605,4.1617,4.4567,4.2513
FBXL3,3.2310,3.0907,3.5964,3.1430
ITGAL,0.3021,0.4119,0.2307,0.2078
PDK2,4.9808,4.8638,4.6337,4.7519
ITGA3,2.6754,2.6062,2.4931,2.4106
ZFX,1.8505,1.7970,1.9078,1.7271
LAMP2,4.7043,5.1135,4.7948,5.3717
GGNBP2,2.9545,2.9753,3.1642,2.9810
ITGA2B,0.2661,0.4994,0.2430,0.2156
ASB4,0.2294,0.1865,0.0527,0.2435
GDE1,5.4908,5.5575,5.5422,5.7209
C19orf60,4.8545,4.8287,4.6277,4.9048
CRLF1,3.8894,3.8072,2.8756,3.2914
OSBPL7,2.5468,2.7737,2.3361,2.4426
TMEM98,4.0963,4.5792,3.8759,4.6869
