TSPAN6,2.1534,1.7297,2.1650
TNMD,0.2818,0.0950,0.3792
DPM1,4.9565,4.1073,4.8583
SCYL3,1.4092,1.6455,1.1861
C1orf112,0.7247,0.6282,0.5802
FGR,1.2907,0.7066,1.3607
CFH,1.6894,1.5754,1.7348
FUCA2,2.7436,2.3753,2.9090
GCLC,2.1351,2.5962,1.3255
NFYA,2.3399,3.1487,2.0269
C1orf201,2.0702,2.2491,1.8014
NIPAL3,3.8154,4.5688,3.6408
LAS1L,2.5445,2.6972,2.6506
ENPP4,3.4737,4.1172,2.5486
SEMA3F,0.9922,0.7423,0.7693
CFTR,0.0104,0.0893,0.0090
ANKIB1,2.4854,3.3298,1.9386
CYP51A1,4.2425,4.4190,4.3100
KRIT1,2.2373,2.8083,1.8452
RAD52,0.9010,0.9787,0.4792
BAD,5.6278,3.9360,5.5200
LAP3,3.1800,2.9324,2.8106
CD99,0.0000,0.0000,0.0000
HS3ST1,1.0306,1.1010,0.9542
ABP1,0.0000,0.0000,0.0000
WNT16,0.7044,0.4079,0.2251
HECW1,2.1901,3.3631,1.6632
MAD1L1,1.6376,1.5918,1.6535
LASP1,4.9490,5.0693,4.6128
SNX11,4.4109,3.3865,4.3303
TMEM176A,1.5373,0.5489,1.7290
M6PR,3.7322,3.7853,3.1524
KLHL13,0.9657,1.1984,0.6493
CYP26B1,2.9017,3.0402,2.0224
ICA1,3.2496,3.0895,3.1908
DBNDD1,5.6637,4.8330,5.6239
ALS2,2.0628,2.9419,1.7140
CASP10,0.4050,0.2221,0.2547
CFLAR,0.9302,0.7229,0.8052
TFPI,0.2424,0.3613,0.1957
C2orf56,2.3146,2.0914,2.1591
RBM5,2.6642,2.9339,2.5154
MTMR7,2.4949,3.3604,1.7004
SLC7A2,0.4618,0.8222,0.3101
ARF5,7.4276,6.1642,7.3284
SARM1,2.5279,2.5020,2.0839
PLXND1,2.3435,2.8035,2.0667
AK2,2.4682,2.0073,2.7662
CD38,0.2629,0.2057,0.4198
FKBP4,5.3699,5.0712,5.2639
RBM6,2.3900,2.7748,2.3190
CAMKK1,5.5486,5.6318,5.2784
RECQL,2.0995,2.4758,1.8188
CCDC132,2.9255,3.4896,2.4324
