TSPAN6,2.0450,1.8684,1.9192
TNMD,0.1365,0.1407,0.1045
DPM1,3.6221,3.5869,3.3302
SCYL3,1.4608,1.5945,1.5317
C1orf112,0.6369,0.6778,0.6997
FGR,1.0752,0.9608,1.0443
CFH,1.3120,1.1767,1.5005
FUCA2,3.0792,3.0320,3.0252
GCLC,2.5843,2.6350,2.4371
NFYA,2.9063,3.0159,2.8149
C1orf201,1.9678,1.8481,1.9076
NIPAL3,4.8416,4.7471,4.5749
LAS1L,2.5500,2.4414,2.4919
ENPP4,3.8153,3.8463,3.3411
SEMA3F,0.9263,1.0078,1.1635
CFTR,0.1087,0.1432,0.1101
ANKIB1,3.5450,3.7114,3.4075
CYP51A1,4.6797,4.5784,4.4787
KRIT1,2.0657,2.1944,1.9680
RAD52,0.9534,1.1190,1.0926
BAD,4.3958,4.3261,4.6005
LAP3,3.2053,3.1699,3.1609
CD99,0.0000,0.0000,0.0000
HS3ST1,0.9707,1.0175,1.0493
ABP1,0.0000,0.0000,0.0000
WNT16,0.5186,0.4217,0.2903
HECW1,2.3946,2.6593,2.4186
MAD1L1,2.2095,1.9844,2.1271
LASP1,5.3400,5.2482,5.3597
SNX11,3.5525,3.4810,3.2030
TMEM176A,1.3682,1.2418,1.1822
M6PR,3.5072,3.5519,3.3672
KLHL13,1.1554,1.0810,0.8697
CYP26B1,2.8823,2.9012,2.8030
ICA1,2.8742,2.8687,2.7798
DBNDD1,5.0727,4.9130,5.0890
ALS2,2.5615,2.6090,2.3834
CASP10,0.4371,0.5603,0.5404
CFLAR,1.1908,1.1268,1.2966
TFPI,0.2307,0.2660,0.2207
C2orf56,2.0527,2.0936,2.1941
RBM5,2.9768,3.0213,2.9370
MTMR7,2.6151,2.7472,2.4348
SLC7A2,1.2645,1.4093,1.5372
ARF5,6.2038,5.9350,5.9459
SARM1,2.7372,2.8198,2.7928
PLXND1,3.1053,3.1083,3.1462
AK2,2.2730,2.0629,2.2724
CD38,1.3653,1.3002,1.2842
FKBP4,5.2641,4.8954,4.9018
RBM6,3.0076,3.0011,3.1495
CAMKK1,4.9822,5.0027,4.9551
RECQL,2.1724,2.3351,2.1049
CCDC132,2.7314,2.7419,2.4473
HSPB6,3.9389,3.8151,4.5856
NDUFAB1,6.0172,5.8906,5.8889
PDK4,3.3452,3.1299,3.0124
SLC22A16,0.0202,0.0209,0.0363
ZMYND10,0.5094,0.4690,0.4816
ABCB5,0.0083,0.0086,0.0000
ARX,2.4111,2.2874,2.2242
SLC25A13,2.1285,2.1314,1.8898
ST7,1.9429,1.8619,1.7923
CDC27,3.1507,3.2179,2.8312
SLC4A1,0.0432,0.0000,0.0326
CALCR,0.1616,0.1126,0.1035
HCCS,2.9768,3.1607,2.8138
