TSPAN6,2.2338,1.9950,2.4536
TNMD,0.4590,0.1022,0.3182
DPM1,2.8238,3.6195,3.0633
SCYL3,0.9908,1.4856,0.9195
C1orf112,0.3427,0.5713,0.2800
FGR,0.5118,1.0840,0.3835
CFH,0.8628,0.8541,1.0807
FUCA2,2.5609,2.9123,2.4032
GCLC,2.3319,2.5893,2.2202
NFYA,2.0578,2.0735,2.1831
C1orf201,1.7515,2.1638,1.4995
NIPAL3,3.1521,4.0173,2.6274
LAS1L,1.4365,1.5657,0.9712
ENPP4,3.5852,4.1970,3.2295
SEMA3F,0.6874,0.5681,0.2814
CFTR,0.1396,0.0859,0.3524
ANKIB1,2.7963,3.3514,2.9200
CYP51A1,4.0276,4.5730,3.7479
KRIT1,1.4959,1.8283,1.5149
RAD52,0.5033,0.2308,0.7560
BAD,4.9679,5.2444,5.0871
LAP3,2.3329,2.6970,2.1752
CD99,0.0000,0.0000,0.0000
HS3ST1,1.6181,1.8973,1.1200
ABP1,0.2632,0.0446,0.5402
WNT16,0.4090,1.0861,0.6201
HECW1,2.6205,3.0798,2.3044
MAD1L1,1.3126,1.7794,0.9724
LASP1,5.2325,5.8481,5.1915
SNX11,3.6183,3.8482,3.4780
TMEM176A,1.1625,1.3690,1.6467
M6PR,3.2004,3.5884,3.2627
KLHL13,1.4251,1.6780,1.7778
CYP26B1,4.3189,4.9631,3.1009
ICA1,2.1631,2.5690,1.8825
DBNDD1,4.2296,4.6573,4.0424
ALS2,1.9753,2.3323,1.8508
CASP10,0.2122,0.1305,0.2932
CFLAR,0.5759,0.6360,0.4838
TFPI,0.2269,0.1267,0.4201
C2orf56,1.6200,1.8134,1.8040
RBM5,1.6832,2.2078,1.5830
MTMR7,3.1044,3.4549,3.3808
SLC7A2,0.5768,0.7186,0.7181
ARF5,6.6694,7.0930,6.4919
SARM1,1.6821,2.2819,1.6820
PLXND1,2.6677,3.0811,2.2259
AK2,1.7602,1.7089,1.3829
CD38,0.3981,0.0619,0.2007
FKBP4,4.7118,5.2719,4.6540
RBM6,1.6777,1.7224,1.2326
CAMKK1,4.1512,4.9765,3.8729
RECQL,1.3959,1.8042,1.3765
CCDC132,2.6590,3.0779,2.8871
HSPB6,3.8828,3.9314,3.2124
NDUFAB1,5.5762,6.1972,5.8045
PDK4,1.1775,1.4503,1.3496
SLC22A16,0.2983,0.0450,0.0948
ZMYND10,0.4710,0.8408,0.3860
ABCB5,0.1286,0.0000,0.1459
ARX,2.1088,2.8740,1.9228
SLC25A13,1.1313,1.5785,0.6927
ST7,1.4695,2.0282,1.5691
CDC27,3.4566,3.6952,3.6582
SLC4A1,0.1749,0.0636,0.2072
CALCR,0.0587,0.1221,0.1884
HCCS,3.9235,3.9241,3.6472
DVL2,1.5838,1.9431,1.6002
PRSS22,0.0224,0.0000,0.0000
UPF1,2.6777,3.4850,2.4433
SKAP2,2.9653,3.3521,2.9344
SLC25A5,6.1652,6.8394,6.1533
CCDC109B,1.4126,1.2885,1.4889
HOXA11,0.1372,0.0000,0.1816
POLR2J,2.8784,3.7174,3.0654
DHX33,1.5805,2.1996,1.5788
MEOX1,0.0852,0.0000,0.2882
THSD7A,1.5810,1.7893,1.7998
