TSPAN6,3.6335,3.2314
TNMD,0.2605,0.2361
DPM1,3.5533,3.1822
SCYL3,1.1351,1.1954
C1orf112,0.5370,0.5118
FGR,2.0119,1.6349
CFH,1.9283,1.5174
FUCA2,3.8485,3.6270
GCLC,2.0192,2.1707
NFYA,2.3820,2.5830
C1orf201,1.3616,1.4817
NIPAL3,2.4507,3.0467
LAS1L,1.8145,1.9733
ENPP4,2.4008,2.2265
SEMA3F,1.6596,1.5965
CFTR,0.0000,0.0300
ANKIB1,3.7381,3.8647
CYP51A1,4.8982,5.1932
KRIT1,1.4905,1.4657
RAD52,0.6439,0.7238
BAD,6.5494,5.9998
LAP3,4.3743,3.9975
CD99,0.0000,0.0000
HS3ST1,1.2241,0.8506
ABP1,0.0000,0.0000
WNT16,0.0692,0.2616
HECW1,1.2676,1.3521
MAD1L1,1.2072,1.4105
LASP1,5.5029,5.6569
SNX11,4.8280,4.2446
TMEM176A,1.7928,1.6047
M6PR,3.4493,3.2417
KLHL13,1.6832,1.4701
CYP26B1,2.4730,2.2057
ICA1,2.1595,2.1654
DBNDD1,4.9641,5.3358
ALS2,1.8906,1.9208
CASP10,0.9224,0.5913
CFLAR,1.4804,1.2675
TFPI,0.5375,0.6156
C2orf56,1.9525,1.8291
RBM5,1.8835,1.9052
MTMR7,1.3324,1.2746
SLC7A2,2.1369,2.4019
ARF5,7.2580,6.5790
SARM1,2.5600,2.9505
PLXND1,2.8685,3.0530
AK2,3.0789,2.9034
CD38,1.6926,2.1022
FKBP4,5.6623,5.3620
RBM6,1.5592,2.0572
CAMKK1,2.7976,3.1258
RECQL,1.9320,1.8323
CCDC132,1.9546,1.9767
HSPB6,3.3308,3.9840
NDUFAB1,6.9104,6.5102
PDK4,3.7420,3.9093
SLC22A16,0.0000,0.0000
ZMYND10,0.8275,0.9525
ABCB5,0.0124,0.0000
ARX,1.9930,2.3636
SLC25A13,1.3292,1.3734
ST7,2.7359,2.5664
CDC27,2.9327,2.6969
SLC4A1,0.0217,0.1309
