TSPAN6,2.1939,2.3697,2.8901,3.0767
TNMD,0.0000,0.0469,0.0000,0.0709
DPM1,2.7815,3.0324,3.3084,2.9307
SCYL3,1.3476,1.2482,1.2016,1.2176
C1orf112,0.7803,0.6913,0.7122,0.6285
FGR,1.7449,1.8928,2.1463,2.5699
CFH,1.1993,1.2128,2.1794,1.8676
FUCA2,2.8873,3.3191,3.2674,3.6046
GCLC,1.9845,2.3341,2.0636,2.3368
NFYA,2.7108,2.4674,2.7851,2.9768
C1orf201,1.2090,1.3182,0.9014,0.7680
NIPAL3,3.8886,4.4854,3.3204,3.7267
LAS1L,2.1557,2.9863,2.4608,2.4238
ENPP4,2.5484,2.6932,1.9946,2.6676
SEMA3F,1.3542,1.3846,1.6504,1.7730
CFTR,0.1276,0.0773,0.0598,0.0505
ANKIB1,3.1337,3.0728,3.3067,3.4296
CYP51A1,4.2474,4.4949,4.7846,5.3356
KRIT1,1.6552,1.8197,1.8806,1.7707
RAD52,1.2256,1.3429,0.8984,0.8337
BAD,4.7720,5.2620,5.2557,5.6503
LAP3,2.8680,3.0562,3.3460,3.5989
CD99,0.0000,0.0000,0.0000,0.0000
HS3ST1,0.7080,0.5693,0.6646,0.8931
ABP1,0.0000,0.0202,0.0271,0.0000
WNT16,0.1662,0.1996,0.0629,0.1041
HECW1,1.1936,1.0783,1.1804,0.6436
MAD1L1,1.8009,2.2288,1.9628,2.0623
LASP1,5.1835,5.1449,5.3682,5.6561
SNX11,2.8630,3.1603,3.0648,3.3404
TMEM176A,1.8897,2.4313,2.2263,2.5360
M6PR,2.8681,3.0374,3.2730,3.0360
KLHL13,0.8461,0.8206,0.8644,1.1018
CYP26B1,1.7972,1.8844,1.5351,1.2290
ICA1,1.8781,2.0227,2.0823,1.7311
DBNDD1,4.2906,4.2903,4.4094,4.6579
ALS2,1.5156,1.6430,1.7423,1.8074
CASP10,0.9798,0.9433,1.1081,1.4115
CFLAR,1.3290,1.5107,1.5688,1.6032
TFPI,0.3308,0.4951,0.6668,0.8934
C2orf56,1.2941,1.6752,1.7167,1.8086
RBM5,2.7503,3.2532,2.8231,2.5868
